Date,Open,High,Low,Close,Volume
2021-01-01,502.5044471393643,502.5415397429493,496.41953666559175,501.69052570380035,4375038
2021-01-04,501.9562243974514,509.0340917791458,500.2022488327949,501.22458833325953,4386500
2021-01-05,501.3007496247681,507.4555304298945,496.9230131988544,501.2574084969381,5887517
2021-01-06,501.88794905645295,507.4224830546283,497.36290431191924,501.6649247799346,8399126
2021-01-07,500.58856447608906,502.9322530401441,495.6222310745622,500.8760017513089,9776288
2021-01-08,501.24876282112336,504.06205982431595,491.50146548193396,500.87806732421484,7124927
2021-01-11,501.2083425292702,503.8698978231128,495.4298548030826,500.8771769383569,6826582
2021-01-12,497.9904145975184,505.40170003420616,495.62498901652117,499.12245263201146,5516130
2021-01-13,500.614487982333,504.99504380530516,492.64477681465286,500.140110637675,7654538
2021-01-14,501.15659796607207,504.95194340114887,494.4896608160633,500.7406091535945,8237517
2021-01-15,500.43944970954993,505.886938902433,491.67331405896886,500.11518017962777,3297059
2021-01-18,500.50690878457794,508.29182792315345,490.30330614219497,499.94363191843206,5386273
2021-01-19,501.5689630248437,501.04622513686104,500.20368919663264,500.4489312926288,3771046
2021-01-20,500.0973918711713,507.47258424908676,499.32914477797914,500.18757487743716,9664999
2021-01-21,500.2588539490668,502.9797034947193,492.6786532179416,499.9448257987646,5979888
2021-01-22,498.23939351834184,500.74981341855994,490.51956721572805,498.4915843862738,4420176
2021-01-25,498.1697887756029,504.1514911582801,489.3246616013843,499.0461646981657,5557316
2021-01-26,497.57975317611056,500.96930849698526,496.4517317300654,499.1700456034527,2812951
2021-01-27,499.8000774432021,506.4660283986908,491.81885075849874,499.4445055272127,9727616
2021-01-28,498.0752445739178,501.0353216590052,494.02317991860104,497.9179809953429,7333074
2021-01-29,500.2531992569746,502.6844495701492,498.4113341745355,499.5686806865293,3554377
2021-02-01,498.5478222320454,509.38215079895855,493.4677156723168,499.7230162219857,3083142
2021-02-02,501.2196014616497,502.4263060795531,496.69003254177954,499.3358762786993,5272593
2021-02-03,500.2513090653071,502.53516554931974,492.27177740702683,501.3649484994604,5484930
2021-02-04,501.50157110387386,502.08897158562263,493.0864461577981,501.31956246959976,5903502
2021-02-05,500.403443862575,507.1350931219215,498.60501968082156,499.8688837704532,7133998
2021-02-08,498.6009480818057,501.66354935931287,490.3411301963751,499.4636559150255,8496578
2021-02-09,497.67668282639477,501.1830588424219,492.9356645390062,497.17534081305377,3287455
2021-02-10,499.3521260123754,506.2413857275214,493.76365692392613,498.22473736239704,6926344
2021-02-11,496.0873403621245,506.2093588974767,488.44477185013767,497.808263043877,2281677
2021-02-12,496.3908942955305,499.27237609693947,494.8829527256591,497.06570951867246,6445660
2021-02-15,498.2698674440459,502.4861274001282,493.7844376141473,498.13817965024793,4875546
2021-02-16,495.9293319633613,504.13917362935376,487.53701678394646,496.4871040608421,9563879
2021-02-17,495.33414847624545,501.226292303064,495.6971457952003,497.0225334171682,8952722
2021-02-18,493.9568344521995,502.58248446810313,489.11116423027494,494.958118614047,4882900
2021-02-19,491.7340300026069,499.74502054834824,484.996441114448,494.2959592743802,7464599
2021-02-22,494.1869352401254,501.3472415537815,491.519462894475,493.0917394287805,4035383
2021-02-23,492.080666564501,498.66402218509035,491.2389693656046,494.553715055994,9024540
2021-02-24,495.1204156038835,502.0965318235027,491.5738597711871,496.31987593392336,3871196
2021-02-25,497.17742055154054,505.02114943962493,489.63599797471807,495.9904621820103,2011131
2021-02-26,499.1072239959559,500.2326057276978,488.5474101994897,496.8311954241538,6849145
2021-03-01,497.94760054975393,503.492741108764,490.9624261019299,496.65120902290147,3224399
2021-03-02,497.36606771191646,500.07193356321176,495.8527522061033,497.21927091022945,7895981
2021-03-03,496.0832612350173,501.189184241376,490.4760396306624,496.466433713808,7958497
2021-03-04,494.0463600435463,498.5716340185195,487.72432790305504,494.75809451064094,5045312
2021-03-05,491.91617214244604,494.67188940773667,486.7812609650842,492.9549958521612,5202817
2021-03-08,491.38037900668246,501.3052124441339,483.4232681583296,493.33811770391867,2724760
2021-03-09,495.73527144067674,504.15411163350484,486.5569861234158,495.58571275672637,3476199
2021-03-10,495.87346702363413,498.84898615141105,492.07127674630505,495.8551243872343,6343588
2021-03-11,492.38122573037504,502.65721232952296,494.947093669764,495.33051976783344,3323562
2021-03-12,496.5796927409817,504.19381483017605,495.7322166094901,497.24253863016537,7125167
2021-03-15,497.9186820368579,504.8013061996177,494.14054806612154,497.47984047680256,4141014
2021-03-16,498.1551473002654,506.3017613439978,493.98135601557715,497.58127446201416,7670315
2021-03-17,498.52790541841273,502.32658054010136,497.58874533754346,497.8338521975695,3768321
2021-03-18,497.5336586433702,503.7495460503808,497.50560638817905,497.70147500000263,6744788
2021-03-19,497.632864495016,497.84927810016944,497.2810387132363,497.3919986594138,3858760
2021-03-22,495.82451459805117,500.3452150641004,493.34263107485486,495.9570351933782,3520983
2021-03-23,497.3546413034479,501.94682978026185,490.4874338723465,496.45865931655925,9051950
2021-03-24,497.340204966801,497.41919677004523,492.5061511392715,496.36388386611935,6499251
2021-03-25,497.5441820187188,498.77753061931844,487.9924243266088,497.5569697884634,8011261
2021-03-26,498.50001145459663,502.58392155967914,495.6430768027759,497.1881513200155,4121243
2021-03-29,495.70606403920385,498.1032487222754,492.99442664649166,495.28178144148507,2035107
2021-03-30,493.4924475785752,501.2848464158346,486.90346301260394,495.18217080959016,4426062
2021-03-31,496.7084172102583,501.3105638485201,494.83798644734543,496.8817081063369,2768150
2021-04-01,495.8739417498754,502.83399022743254,487.2636880900067,496.49828498340537,6899444
2021-04-02,495.9990879114773,502.11651573498585,491.2031102111155,495.6084281223846,7459061
2021-04-05,493.75106737989853,496.9120182082651,487.2684605997773,494.41483620012644,7007037
